epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4268.75,0.77625,0.53189,0.9297,0.76503,0.55658,0.63599,0.37679,1.6161,1.24339,1.37134,0.004258,0.004258,0.004258
60,4340.09,0.76999,0.52801,0.92888,0.76683,0.55701,0.63625,0.37702,1.61564,1.2422,1.37074,0.004159,0.004159,0.004159
61,4411.65,0.7655,0.52483,0.92731,0.76643,0.55752,0.63656,0.37718,1.61471,1.24139,1.37011,0.00406,0.00406,0.00406
62,4481.2,0.7654,0.52489,0.92755,0.76666,0.55789,0.63687,0.37738,1.61395,1.24042,1.36927,0.003961,0.003961,0.003961
63,4552.8,0.76137,0.52153,0.92606,0.76604,0.55834,0.63715,0.37777,1.61328,1.23963,1.36869,0.003862,0.003862,0.003862
64,4625.79,0.75663,0.51973,0.92717,0.76674,0.55822,0.6375,0.37818,1.61301,1.23901,1.36812,0.003763,0.003763,0.003763
65,4698.89,0.7505,0.51351,0.9229,0.76801,0.55789,0.63774,0.37847,1.61216,1.23793,1.36738,0.003664,0.003664,0.003664
66,4771.81,0.7491,0.51397,0.92247,0.76816,0.55813,0.6378,0.37866,1.61142,1.23698,1.36654,0.003565,0.003565,0.003565
67,4845.13,0.74814,0.51232,0.92428,0.76886,0.55793,0.6382,0.37893,1.61055,1.23596,1.36584,0.003466,0.003466,0.003466
68,4917.58,0.73413,0.50598,0.91898,0.76939,0.55772,0.6383,0.37919,1.61006,1.23464,1.36517,0.003367,0.003367,0.003367
69,4989.31,0.73865,0.50717,0.92137,0.76731,0.55914,0.6386,0.37928,1.60941,1.23381,1.36438,0.003268,0.003268,0.003268
70,5061.55,0.73362,0.50358,0.91938,0.76744,0.55949,0.63884,0.3795,1.60895,1.23286,1.36393,0.003169,0.003169,0.003169
71,5133.47,0.73318,0.50109,0.91892,0.76782,0.56,0.63921,0.37978,1.60826,1.23192,1.36344,0.00307,0.00307,0.00307
72,5206.27,0.73429,0.50123,0.92039,0.76874,0.5597,0.63948,0.38017,1.60745,1.23075,1.3627,0.002971,0.002971,0.002971
73,5278.95,0.73063,0.50166,0.91868,0.76909,0.55978,0.63984,0.38041,1.60664,1.22947,1.36185,0.002872,0.002872,0.002872
74,5349.94,0.72237,0.49992,0.91897,0.76986,0.55939,0.64004,0.38059,1.60587,1.22869,1.36115,0.002773,0.002773,0.002773
